timestamp;tag;duration;package_0;dram_0;core_0;nvidia_gpu_0
1685628997.5062773;Mobile;44.008907079696655;1677047831.0;61329921.0;1627538864.0;5011301
1685629041.5171742;Mobile;46.75284028053284;1827877706.0;64897356.0;1776413482.0;5954480
1685629088.27094;Mobile;52.8589129447937;2022462718.0;68645393.0;1965357761.0;6965903
1685629141.1308324;Mobile;58.67209529876709;2175235276.0;73534968.0;2112448633.0;8042478
1685629199.8038945;Mobile;69.55026960372925;2520367450.0;81652745.0;2446910178.0;9906850
1685629269.3550518;Mobile;40.64164090156555;1729708524.0;59435334.0;1684553854.0;5411400
1685629309.997803;Mobile;46.01243448257446;1921900597.0;63253134.0;1871212190.0;6051791
1685629356.0112703;Mobile;52.25612187385559;2117240307.0;68606209.0;2060424779.0;6997036
1685629408.2684467;Mobile;58.261085987091064;2209866352.0;73410823.0;2147584590.0;7868433
1685629466.530897;Mobile;69.51590943336487;2500272957.0;81968235.0;2426840345.0;9917739
1685629536.047825;Mobile;40.76908802986145;1718835627.0;59215119.0;1673619251.0;5391554
1685629576.8180203;Mobile;46.65770196914673;1939056987.0;64330524.0;1887807667.0;6080798
1685629623.476917;Mobile;52.70456290245056;2065601463.0;68814949.0;2008787460.0;6935446
1685629676.1826475;Mobile;58.40676259994507;2199869002.0;73650629.0;2137489462.0;7766989
1685629734.5907428;Mobile;69.18208479881287;2469323147.0;81517186.0;2396243744.0;9783420
1685629803.773706;Mobile;39.86688184738159;1687394789.0;57347815.0;1643182439.0;5272041
1685629843.6416132;Mobile;46.19352436065674;1894516329.0;63018698.0;1844185098.0;5992387
1685629889.836271;Mobile;51.76963686943054;-260120796064.0;67060986.0;1966800690.0;6832083
1685629941.6069515;Mobile;58.29217195510864;2158815274.0;72766965.0;2096767276.0;7681640
1685629999.8999598;Mobile;68.61843609809875;2399079490.0;80289528.0;2326892419.0;9745748
1685630068.5195348;Mobile;39.75708198547363;1674195177.0;57154333.0;1630089699.0;5314707
1685630108.2777352;Mobile;46.47090005874634;1883175843.0;63375388.0;1832631234.0;6068441
1685630154.7496996;Mobile;52.641021490097046;2041068749.0;68476448.0;1984520982.0;6957958
1685630207.3918612;Mobile;57.870561838150024;2132948459.0;72290099.0;2071134713.0;7709146
1685630265.2636282;Mobile;68.92258524894714;2406890872.0;80917334.0;2334376165.0;9766129
